HR,Flam,Bayer,Con,Dbl,Cmp,RA,m,s,,Dec m,,s,Vmag,B_V,U-B,Spec. Type,pmRA,pmD,Parallax,RV
4840,,,,,,12,43,4.2,N,61,9,20,6.38,1.26,1.39,  K0,-0.047,0.026,,-6
4841,,,,,,12,45,1.7,S,68,49,52,6.16,0.69,0.38,  F6Ia,-0.032,-0.015,,-3
4842,,Iot,Cru,,,12,45,37.9,S,60,58,52,4.69,1.05,0.94,  K0III,0.098,-0.063,0.036,7
4843,,,,,,12,44,27.1,N,44,6,11,6.33,0.43,,  F6IV,-0.027,0.005,,-16
4844,,Bet,Mus,,,12,46,16.9,S,68,6,29,3.05,-0.18,-0.74,  B2.5V,-0.039,-0.017,0.015,42
4845,10,,CVn,,,12,44,59.5,N,39,16,44,5.95,0.55,-0.03,  G0V,-0.355,0.139,0.063,81
4846,,,,,,12,45,7.8,N,45,26,25,4.99,2.54,6.33,  C7I,-0.001,0.015,0.002,12
4847,32,,Vir,,,12,45,37.1,N,7,40,24,5.22,0.33,0.15,  F0IIIm,-0.107,0.004,0.014,-9
4848,,,,,,12,46,22.7,S,56,29,20,4.65,-0.16,-0.64,  B3V,-0.036,-0.013,,17
4849,33,,Vir,,,12,46,22.5,N,9,32,24,5.67,0.99,0.76,  K1III-IV,0.277,-0.446,0.021,52
4850,,,,,,12,46,46,S,33,18,56,5.86,1.34,1.6,  K3III,-0.007,-0.03,,31
4851,27,,Com,,,12,46,38.7,N,16,34,39,5.12,1.35,1.54,  K3III,0.009,0.007,,53
4852,,,,,,12,44,26,N,80,37,16,6.4,0.12,0.13,  A5m,0.03,-0.042,,-28
4853,,Bet,Cru,,,12,47,43.2,S,59,41,19,1.25,-0.23,-1,  B0.5III,-0.048,-0.014,,16
4854,,,,,,12,47,2.3,N,5,57,3,6.34,-0.05,-0.06,  A0p,0.035,-0.043,,16
4855,34,,Vir,,,12,47,13.6,N,11,57,29,6.07,0.12,0.13,  A3V,0.042,-0.018,,-2
4856,,,,,,12,47,33.4,S,6,18,7,6.26,0.55,0.07,  F7V,0.001,-0.044,,13
4857,,,,,,12,47,53.7,S,24,51,6,6.44,-0.06,-0.45,  B8III,-0.041,0.04,,49
4858,35,,Vir,,,12,47,51.4,N,3,34,22,6.41,1.6,1.83,  M3IIIb,-0.006,-0.003,,8
4859,,,,,,12,47,18.9,N,62,46,51,5.89,,,  A9V,0.016,-0.001,,-11
4860,,,,,,12,48,26.4,S,27,35,51,5.66,0.95,0.61,  G5III-IV,-0.139,-0.063,,-10
4861,28,,Com,,,12,48,14.3,N,13,33,11,6.56,0.01,0.01,  A1V,-0.047,-0.028,,0
4862,,,,,,12,49,44.9,S,71,59,11,5.55,1.17,0.95,  G8Ib-II,0.001,-0.005,,-7
4863,7,,Dra,,,12,47,34.4,N,66,47,25,5.43,1.56,, gK5,0.01,-0.005,0.023,8
4864,,,,,,12,48,47,N,24,50,25,6.31,0.7,0.25,  G7V,-0.339,-0.108,0.043,-8
4865,29,,Com,,,12,48,54.2,N,14,7,21,5.7,0.02,0.07,  A1V,0.026,-0.019,,-8
4866,11,,CVn,,,12,48,41.8,N,48,28,1,6.27,0.18,0.17,  A6m,-0.065,0.016,,-2
4867,,,,,,12,48,39.4,N,60,19,12,5.85,0.46,-0.04,  F5V,0.105,0.001,0.041,-12
4868,,,,,,12,50,12,S,60,24,3,6.75,0.35,0.21,  A3II,-0.007,-0.017,,-9
4869,30,,Com,8674,,12,49,17.4,N,27,33,8,5.78,0.03,0.06,  A2V,-0.096,0.021,,0
4870,,Iot,Oct,,,12,54,58.6,S,85,7,24,5.46,1.02,0.79,  K0III,0.062,0.028,,53
4871,,,,,,12,50,19.6,S,48,27,35,6.24,0.05,,  A0V,-0.037,0.002,,-17
4872,,,,,,12,50,57.9,S,52,47,15,5.73,0.13,,  A5V,-0.026,-0.012,,-7
4873,,,,,,12,50,17.4,N,22,51,48,6.43,1,0.8,  K0III,0.109,-0.069,,6
4874,,,,,,12,50,41.2,S,33,59,58,4.91,-0.04,-0.11,  A0IV,-0.028,-0.02,0.02,4
4875,,,,,,12,50,10.7,N,37,31,1,5.89,0.15,0.08,  A3V,-0.097,0.027,0,-14
4876,,,,,,12,51,17.8,S,60,19,47,5.72,0.38,-0.1,  A2Iabe,-0.025,0.007,,-21
4877,,,,8684,A,12,51,22.9,S,10,20,18,6.41,1.02,0.79,  G8III,-0.008,-0.006,,-17
4878,37,,Vir,,,12,51,36.9,N,3,3,24,6.02,1.29,1.44, gK4,-0.035,0.02,,3
4879,,,,,,12,51,56.8,S,39,40,51,5.98,-0.1,,  B8V,-0.035,-0.028,,5
4880,,,,,,12,52,5.3,S,48,5,39,6.33,0.03,0.02,  A0IV,-0.06,0.013,,-2
4881,,,,,,12,51,57.9,S,26,44,17,6.15,0.23,,  A0III,-0.111,0.04,,-18
4882,,,,,,12,52,24.6,S,53,49,46,6.24,1.13,,  G8Ib-II,-0.02,0.012,,-23
4883,31,,Com,,,12,51,41.9,N,27,32,26,4.94,0.67,0.2,  G0III,-0.012,-0.008,0.011,-1
4884,32,,Com,,,12,52,12.3,N,17,4,26,6.32,1.59,1.99,  M0III,0.001,-0.007,,-1
4885,,,,,,12,53,3.9,S,54,57,9,5.93,1.31,1.4,  K2III,-0.119,0.011,,-9
4886,,,,,,12,52,27.6,N,16,7,21,6.3,0.16,0.1,  A7V,-0.043,-0.019,,-27
4887,,,,,,12,53,21.8,S,60,19,43,5.76,0.33,-0.42,  B9Ia,-0.013,0,,-19
4888,,,,,,12,53,6.9,S,48,56,36,4.33,1.37,1.58,  K3-4III,-0.076,-0.03,0.02,-2
4889,,,,,,12,53,26.2,S,40,10,44,4.27,0.21,0.12,  A7III,0.063,-0.022,0.056,-3
4890,,Kap,Cru,,,12,53,49.1,S,60,22,37,5.9,0.2,-0.65,  B5Ia,0.004,-0.021,,-4
4891,38,,Vir,,,12,53,11.2,S,3,33,11,6.11,0.5,0.04,  F5V,-0.262,-0.003,0.042,-7
4892,,,,8682,B,12,49,6.6,N,83,25,5,5.85,-0.06,-0.12,  A0V+A2V,-0.026,0.022,0.001,1
4893,,,,8682,A,12,49,13.6,N,83,24,46,5.28,-0.03,-0.06,  A1IIIShell,-0.029,0.02,0.001,2
4894,35,,Com,8695,,12,53,17.8,N,21,14,42,4.9,0.9,0.64,  G8III+F6V,-0.047,-0.022,0.021,-7
4895,,,,,,12,54,22,S,58,25,50,6.58,0.76,0.6,  F7Ib-II,-0.014,-0.001,,-7
4896,,,,,,12,53,38.1,S,4,13,26,6.44,1.1,1.02,  K0,0.001,-0.041,,37
4897,,Lam,Cru,,,12,54,39.2,S,59,8,48,4.62,-0.15,-0.61,  B4Vne,-0.036,-0.01,,12
4898,,Mu 1,Cru,,A,12,54,35.6,S,57,10,40,4.03,-0.17,-0.76,  B2IV-V,-0.033,-0.006,,14
4899,,Mu 2,Cru,,B,12,54,36.8,S,57,10,6,5.17,-0.12,-0.51,  B5Vne,-0.035,-0.001,,19
4900,41,,Vir,,,12,53,49.7,N,12,25,7,6.25,0.27,0.05,  A7III,0.051,-0.024,,-10
4901,,,,,,12,54,18.7,S,11,38,55,6,0.08,,  A2V,-0.141,0.013,,-24
4902,40,Psi,Vir,,,12,54,21.2,S,9,32,20,4.79,1.6,1.53,  M3-IIICa-1,-0.024,-0.015,0.021,18
4903,,,,,,12,54,58.5,S,44,9,7,5.89,0.64,0.25,  G1V,-0.223,-0.225,0.044,32
4904,,,,,,12,54,13.1,N,33,32,4,6.26,0.2,0.09,  A7IV,-0.09,0.032,,5
4905,77,Eps,UMa,,,12,54,1.7,N,55,57,35,1.77,-0.02,0.02,  A0p,0.112,-0.006,0.009,-9
4906,,,,,,12,55,19.4,S,42,54,57,5.47,1.68,2.05,  M0III,-0.038,-0.012,,-7
4907,,,,,,12,56,31.5,S,72,11,7,5.93,1.13,0.9,  G8III,-0.027,-0.011,,10
4908,,,,,,12,55,57,S,56,50,10,5.32,0.01,-0.84,  O9Ib,-0.024,-0.01,,18
4909,,,,,,12,54,56.5,N,47,11,48,5.84,1.55,1.57,  M5III,-0.016,-0.006,,-17
4910,43,Del,Vir,,,12,55,36.2,N,3,23,51,3.38,1.58,1.78,  M3+III,-0.469,-0.054,0.022,-18
4911,,,,,,12,55,53.3,S,15,19,37,6.17,0,,  A0Vn,-0.017,0.003,,-3
4912,,,,,,12,56,30.1,S,26,27,37,6.62,0.68,,  F3Ia,0.013,-0.015,,-24
4913,,,,,,12,57,4.4,S,51,11,55,5.16,-0.06,-0.32,  B8-9V,-0.026,-0.015,,25
4914,12,Alp1,CVn,8706,B,12,56,0.4,N,38,18,53,5.6,0.34,-0.03,  F0V,-0.236,0.062,0.027,-3
4915,12,Alp2,CVn,8706,A,12,56,1.7,N,38,19,6,2.9,-0.12,-0.32,  A0p,-0.234,0.056,0.027,-3
4916,8,,Dra,,,12,55,28.5,N,65,26,19,5.24,0.28,0.02,  F0V,-0.005,-0.029,0.032,9
4917,,,,8710,,12,56,17.6,N,54,5,58,5.82,0.19,0.08,  A5m,-0.077,0.001,0.012,-5
4918,,,,,,12,57,33.2,S,22,45,14,6.31,1.07,,  G5,-0.052,-0.029,,3
4919,,,,,,12,57,7.7,N,46,10,37,6.12,1.01,0.8,  K0III-IV,-0.022,-0.047,,7
4920,36,,Com,,,12,58,55.4,N,17,24,34,4.78,1.56,1.96,  M1-IIIb,-0.039,0.034,,-2
4921,44,,Vir,8727,,12,59,39.5,S,3,48,43,5.79,0.18,0.08,  A3V,-0.037,0.008,,-18
4922,,,,,,13,0,32.6,S,33,30,19,6.02,0.38,,  F0V,-0.078,-0.079,,-23
4923,,Del,Mus,,,13,2,16.2,S,71,32,56,3.62,1.18,1.26,  K2III,0.256,-0.021,0.03,37
4924,37,,Com,8731,,13,0,16.5,N,30,47,6,4.9,1.17,1.05,  G9III,-0.018,-0.013,0.016,-13
4925,46,,Vir,8732,,13,0,35.9,S,3,22,7,5.99,1.12,1.1,  K2III,-0.025,0.05,,23
4926,,,,8735,,13,0,38.8,N,18,22,23,6.2,0.42,0.02,  F6V s,-0.226,0.06,0.02,1
4927,,,,,,12,58,47.3,N,75,28,21,6.01,0.99,0.75,  K0III,0.008,0.01,,-15
4928,9,,Dra,,,12,59,55.1,N,66,35,50,5.32,1.29,1.29,  K2III,-0.139,-0.013,0.005,-30
4929,38,,Com,,,13,1,9.6,N,17,7,23,5.96,0.96,,  K0III,-0.005,-0.025,,-6
4930,,,,,,13,3,5.2,S,71,28,34,6.03,0.05,-0.87,  B1.5IIIne,-0.023,-0.014,,-5
4931,78,,UMa,8739,,13,0,43.8,N,56,21,59,4.93,0.36,0.01,  F2V,0.114,-0.009,0.034,-10
4932,47,Eps,Vir,,,13,2,10.6,N,10,57,33,2.83,0.94,0.73,  G8IIIab,-0.273,0.02,0.043,-14
4933,,Xi 1,Cen,,,13,3,33.2,S,49,31,38,4.85,0.02,0.03,  A0V,-0.059,-0.014,0.012,0
4934,,,,,,13,1,46.8,N,63,36,37,6,0.41,0.02,  F6V,-0.18,0.029,0.033,-11
4935,,,,8757,,13,3,46.1,S,20,34,59,5.58,0.56,0.07,  F7V,0.142,0.018,0.003,34
4936,,,,,,13,2,40.4,N,59,42,58,6.53,0.05,0.06,  A3Vn,-0.029,-0.016,,-23
4937,48,,Vir,8759,,13,3,54.4,S,3,39,48,6.59,0.29,0.11,  F0V,-0.035,-0.036,0.005,3
4938,,,,,,13,4,48.1,S,41,11,48,6.26,1.68,1.83,  M3-4III,-0.028,-0.034,,-33
4939,,,,,,13,5,30.8,S,52,6,54,6.43,1.7,1.99,  M1III,-0.048,0.032,,-31
4940,,,,,,13,6,16.7,S,48,27,49,4.71,-0.14,-0.58,  B5V,-0.03,-0.023,,6
4941,,,,,,13,6,35.1,S,41,35,19,5.59,1.05,,  K0II-III,0.046,-0.017,,2
4942,,Xi 2,Cen,,,13,6,54.6,S,49,54,22,4.27,-0.19,-0.79,  B1.5V,-0.026,-0.012,,14
4943,14,,CVn,,,13,5,44.5,N,35,47,56,5.25,-0.08,-0.2,  B9V,-0.03,0.021,0.011,-13
4944,,,,,,13,7,24.2,S,59,51,38,5.99,0.48,0.12,  F8-G2+B9IV,-0.027,-0.012,,4
4945,,,,8775,,13,5,52.3,N,45,16,7,5.63,1.13,,  K1III,-0.012,0.028,0.012,-20
4946,39,,Com,,,13,6,21.2,N,21,9,12,5.99,0.39,0,  F4V,-0.069,-0.046,0.03,1
4947,,,,,,13,6,54.3,S,35,51,43,6.54,-0.02,-0.02,  A0IV-III,0.041,-0.078,,16
4948,,,,8777,,13,6,10.2,N,29,1,46,6.54,0.05,0.09,  A3IV,-0.069,0.001,,5
4949,40,,Com,,,13,6,22.6,N,22,36,58,5.6,1.59,1.63,  M5III,0.025,-0.049,0.045,-5
4950,,,,8772,,13,4,49.7,N,73,1,31,6.31,,,  F0V,-0.019,0.02,0.007,-16
4951,,,,,,13,7,38.3,S,53,27,35,5.71,-0.07,-0.27,  B8V,-0.039,-0.024,,22
4952,,The,Mus,,,13,8,7,S,65,18,23,5.51,-0.02,-0.87,  B0Ia+WC5:,-0.016,-0.009,,-28
4953,,,,,,13,6,22.7,N,62,2,31,6.14,0.99,0.65,  G7III,0.005,-0.037,,15
4954,41,,Com,,,13,7,10.7,N,27,37,29,4.8,1.48,1.85,  K5III,0.031,-0.07,0.008,-16
4955,49,,Vir,,,13,7,53.8,S,10,44,25,5.19,1.14,1.12,  K2III,0.017,-0.006,0.025,-9
4956,,,,,,13,7,53.6,N,27,33,21,6.19,1.36,1.64,  K4III,-0.041,-0.064,,-9
4957,,,,,,13,8,32.5,S,8,59,4,5.55,1.18,1.18,  K3III,-0.032,-0.062,,16
4958,45,Psi,Hya,,,13,9,3.3,S,23,7,5,4.95,1.05,0.93,  K1III,-0.024,-0.036,0.012,-19
4959,,,,,,13,9,14.4,S,9,32,18,6.32,1.02,0.79,  K0,-0.033,-0.009,,0
4960,,,,,,13,9,12.4,N,10,1,20,5.78,1,,  K0III,0.017,-0.003,,0
4961,50,,Vir,,,13,9,45.3,S,10,19,46,5.94,1.49,1.69,  K5III,-0.008,-0.012,,-7
4962,,,,,,13,9,47.8,N,16,50,55,5.91,1.45,1.65,  K5III,-0.069,-0.012,,-17
4963,51,The,Vir,8801,,13,9,57,S,5,32,20,4.38,-0.01,-0.01,  A1IV s+Am,-0.032,-0.033,0.026,-3
4964,,,,,,13,9,38.7,N,37,25,23,6.02,1.15,,  K3III,-0.103,0.005,,-19
4965,,,,,,13,10,58.4,S,52,34,1,6.06,-0.09,-0.38,  ApSi,-0.041,-0.017,,26
4966,,,,,,13,11,51.6,S,69,56,31,5.91,0.42,-0.03,  F3IV-V,0.036,0.006,,7
4967,15,,CVn,8805,BC,13,9,42,N,38,32,2,6.28,-0.12,-0.48,  B7III,-0.016,0.003,,-6
4968,42,Alp,Com,8804,A,13,9,59.3,N,17,31,46,5.22,0.45,-0.06,  F5V,-0.431,0.136,0.054,-18
4969,42,Alp,Com,8804,B,13,9,59.3,N,17,31,46,5.22,,,  F5V,-0.43,0.136,0.054,-18
4970,,,,,,13,11,8.8,S,42,13,59,5.79,0.52,,  F7IV,-0.08,-0.024,,-11
4971,17,,CVn,8805,A,13,10,3.2,N,38,29,56,5.91,0.29,,  A9III-IV,-0.07,0.044,,0
4972,,,,,,13,11,53.1,S,63,18,10,6.33,0.44,0.35,  A8II-III,-0.006,0.003,,-3
4973,,,,,,13,11,23.2,S,43,22,8,5.25,1.05,0.92,  K1-2III,-0.117,-0.027,0.011,-9
4974,,,,,,13,9,50.2,N,62,13,45,6.54,-0.02,-0.02,  A1V,-0.03,-0.008,,-17
4975,,,,,,13,12,17.4,S,59,55,15,4.6,-0.08,-0.38,  B8V,-0.049,-0.024,0.014,12
4976,,,,,,13,14,17.2,S,78,26,50,5.85,1.07,0.72,  F8Ib,-0.018,0.004,,-18
4977,,,,,,13,12,48.9,S,66,13,37,5.9,0.06,0.04,  A0Vm:,0.024,0.006,,9
4978,,,,,,13,11,39.2,S,26,33,6,6.5,0.19,,  A5Vn,-0.068,0.004,,-21
4979,,,,,,13,12,3.2,S,37,48,11,4.85,0.7,0.31,  G3V,-0.385,0.047,0.053,-15
4980,,,,,,13,12,56,S,59,49,0,6.16,0.6,0.08,  G0V,0.014,-0.107,,16
4981,53,,Vir,,,13,12,3.5,S,16,11,55,5.04,0.46,0.02,  F5III-IV,0.098,-0.286,0.04,-14
4982,,,,,,13,12,50.9,S,42,41,59,6.22,1.06,,  K0III,-0.02,0.003,,-1
4983,43,Bet,Com,,,13,11,52.4,N,27,52,41,4.26,0.57,0.07,  F9.5V,-0.801,0.882,0.12,6
4984,,,,,,13,12,8.4,N,24,15,29,6.33,0.98,,  K1III,-0.008,-0.041,,-24
4985,,,,,,13,13,23.5,S,50,42,0,5.89,-0.02,,  B9V,-0.019,-0.027,,-1
4986,,,,,,13,12,32.9,N,11,33,22,5.77,1.51,,  M0III,-0.05,-0.033,,25
4987,,,,,,13,12,35.9,N,18,45,6,6.53,0.88,,  G8III,-0.065,-0.003,,-20
4988,,,,,,13,14,12.1,S,58,41,2,5.89,1.08,,  K0-1III,-0.051,-0.012,,-2
4989,,,,,,13,14,14.8,S,59,6,12,4.92,0.48,,  F7IV,-0.265,-0.157,0.053,-65
4990,54,,Vir,8824,A,13,13,26.8,S,18,49,36,6.28,0.09,0.01,  B9III,-0.02,-0.017,0.011,-41
4991,,,,,,13,13,57.5,S,43,8,20,6.16,1.38,1.62,  K4III,-0.17,0.028,,30
4992,,,,,,13,13,12.4,N,18,43,37,6.11,1.2,,  G8III,-0.215,-0.049,,-24
4993,,Eta,Mus,,,13,15,14.9,S,67,53,40,4.8,-0.08,-0.35,  B8V,-0.041,-0.008,,-8
4994,,,,,,13,15,25.7,S,69,40,47,6.37,1.21,1.33,  K2-3III,-0.101,-0.048,,-11
4995,55,,Vir,,,13,14,10.9,S,19,55,51,5.33,0.87,0.44,  G6V,-0.122,0.167,0.01,-45
4996,,,,,,13,14,43.1,S,48,57,24,5.89,1.06,0.93,  K1III,-0.129,-0.081,,56
4997,,,,,,13,13,43,N,40,9,10,4.92,1.06,0.93,  G8IIIa,-0.048,0.015,0.004,-21
4998,,,,8832,,13,14,31.3,N,11,19,54,5.67,1.5,1.86,  M0III,0.074,-0.052,,12
4999,,,,,,13,15,9.7,S,36,22,16,6.19,0.97,,  K1III,-0.012,-0.015,,-4
5000,,,,,,13,16,44.8,S,65,8,18,6.07,0.44,-0.02,  F5V,-0.103,-0.052,,18
5001,57,,Vir,,,13,15,58.8,S,19,56,35,5.22,1.03,0.87,  K1III-IV,0.306,-0.116,0.048,34
5002,,,,,,13,17,13,S,66,47,1,4.87,1.5,1.58,  K2Ib-II,-0.02,-0.014,0.007,-10
5003,,,,,,13,13,32,N,72,47,56,6.59,0.08,0.07,  A2V,0.017,-0.016,,2
5004,19,,CVn,,,13,15,32,N,40,51,19,5.79,0.19,0.12,  A7V,-0.108,0.015,,-18
5005,,,,,,13,16,25.5,S,1,23,26,6.68,0.31,0.08,  F1IV,-0.035,-0.028,,-12
5006,,,,,,13,16,53.1,S,31,30,22,5.1,0.96,0.61,  K1III,0.034,-0.048,0.016,13
5007,,,,,,13,16,14.3,N,19,3,6,6.45,0.98,0.75,  G8III,-0.102,0.002,,-45
5008,,,,,,13,17,13.9,S,43,58,46,5.84,0.2,0.15,  Am,0,-0.008,,-12
5009,,,,,,13,12,25.4,N,80,28,17,6.25,0.94,,  K0Ib,-0.009,0.012,,-11
5010,,,,,,13,16,32.3,N,19,47,7,6.45,0.25,0.08,  F0V,-0.11,0.023,,-35
5011,59,,Vir,,,13,16,46.5,N,9,25,27,5.22,0.59,0.1,  G0V s,-0.334,0.19,0.079,-26
5012,,,,,,13,19,18.9,S,72,2,8,6.04,1.35,1.46,  K3III,-0.013,-0.056,,-31
5013,,,,,,13,17,15.6,N,13,40,32,5.33,1.31,1.51,  K3III,0.007,0.039,,-25
5014,,,,,,13,17,29.9,S,0,40,36,6.37,0.26,0.04,  F0V,-0.058,-0.025,,-20
5015,60,Sig,Vir,,,13,17,36.3,N,5,28,11,4.8,1.67,1.95,  M1III,-0.005,0.013,0.011,-27
5016,,,,,,13,18,34.6,S,51,17,10,6.19,0.01,,  A0V,-0.048,-0.023,,-4
5017,20,,CVn,,,13,17,32.5,N,40,34,21,4.73,0.3,0.21,  F3III,-0.125,0.021,0.019,8
5018,,,,,,13,16,28.6,N,68,24,29,6.2,-0.06,-0.16,  B9.5V,-0.013,0.016,,-7
5019,61,,Vir,,,13,18,24.3,S,18,18,41,4.74,0.71,0.26,  G6V,-1.07,-1.065,0.115,-9
5020,46,Gam,Hya,,,13,18,55.3,S,23,10,18,3,0.92,0.66,  G8-IIIa,0.064,-0.045,0.027,-5
5021,,,,,,13,18,51.1,N,3,41,16,6.62,0.06,0.03,  A1IV,-0.05,-0.011,,-1
5022,,,,,,13,18,27.8,N,34,5,53,5.82,1.35,,  K4.5III,0.033,0.003,,-20
5023,21,,CVn,,,13,18,14.5,N,49,40,55,5.15,-0.07,-0.2,  A0V,-0.033,0.015,0.02,-3
5024,,,,,,13,20,34.9,S,59,46,24,6.18,0.43,,  F3-F5II,-0.042,-0.024,,-10
5025,,,,8861,D,13,19,4.2,N,35,7,41,6.02,0.24,,  F0IV,-0.03,0.019,,-2
5026,,,,,,13,20,37.8,S,52,44,53,5.48,-0.13,-0.52,  B6V,-0.03,-0.019,,10
5027,,,,,,13,20,48.3,S,55,48,2,6.02,0.29,-0.69,  B0.5Ia,-0.009,0.004,,-3
5028,,Iot,Cen,,,13,20,35.8,S,36,42,44,2.75,0.04,0.03,  A2V,-0.341,-0.085,0.062,0
5029,,,,,,13,20,57.7,S,46,52,50,5.77,1.12,1.01,  K1III,-0.075,0.004,,-3
5030,,,,,,13,22,52.6,S,72,8,48,6.05,0.09,-0.34,  B6V,-0.023,-0.013,,33
5031,,,,8864,,13,20,41.6,N,2,56,30,6.26,0.1,0.1,  A3V,-0.059,-0.029,0.005,-4
5032,23,,CVn,,,13,20,19,N,40,9,2,5.6,1.2,,  K1III,-0.058,-0.002,,-21
5033,,,,,,13,21,29.9,S,19,29,20,6.21,0.09,0.08,  A2V,-0.066,0.008,,-8
5034,,,,,B,13,22,35.7,S,60,58,20,6.18,0.01,-0.58,  B2.5Vn,-0.02,-0.013,,3
5035,,,,,A,13,22,37.9,S,60,59,18,4.53,-0.13,-0.6,  B3V,-0.039,-0.014,,6
5036,,,,,,13,22,16.2,S,52,10,59,5.83,0.12,-0.72,  B2.5Ib,-0.01,0.001,,-15
5037,,,,,,13,21,41.6,N,2,5,14,5.69,0.06,0.03,  A2V,-0.061,-0.053,,-7
5038,,,,,,13,22,52.7,S,47,56,35,6.16,0.18,,  A4V,0.036,0.005,,0
5039,,,,,,13,23,2.6,S,48,33,46,6.38,-0.07,-0.44,  B6IV,-0.006,-0.001,,-41
5040,64,,Vir,,,13,22,9.7,N,5,9,17,5.87,0.12,0.1,  A2m,-0.065,-0.036,,-10
5041,,,,,,13,24,0.5,S,64,32,9,4.53,0.85,0.47,  G6II,0.029,-0.026,0.002,12
5042,,Iot1,Mus,,,13,25,7.1,S,74,53,16,5.05,1.11,1.01,  K0III,-0.115,-0.13,0.016,28
5043,,,,,,13,23,8.7,S,33,11,24,6.22,1.65,1.96,  M1III,-0.005,-0.005,,-13
5044,63,,Vir,,,13,23,1.1,S,17,44,7,5.37,0.99,0.75,  KIII,-0.047,-0.029,0.004,-27
5045,,,,,,13,22,3.8,N,43,54,11,6.35,0.24,0.06,  A7m,-0.071,0.01,,-1
5046,,,,,,13,23,52.3,S,49,49,23,6.48,0.96,,  G8III,-0.067,-0.044,,-32
5047,65,,Vir,,,13,23,18.9,S,4,55,28,5.89,1.43,1.66,  K3III,-0.019,-0.015,,10
5048,,,,,,13,25,13.9,S,64,29,7,5.31,0.4,-0.01,  F2III,-0.157,-0.022,0.008,-2
5049,,,,,,13,25,50.1,S,70,37,39,5.67,-0.03,-0.18,  Ap,-0.067,-0.009,,8
5050,66,,Vir,,,13,24,33.2,S,5,9,50,5.75,0.42,-0.04,  F3-4V s,0.159,-0.03,,14
5051,,Iot2,Mus,,,13,27,18.3,S,74,41,31,6.63,-0.06,-0.24,  B9V,-0.049,-0.017,,-3
5052,,,,,,13,23,54,N,37,2,2,6.07,1.68,,  M3III,0.022,-0.006,,0
5053,,,,,,13,24,30.5,N,12,25,55,6.44,1.06,0.91,  K0III,-0.016,0.041,,-6
5054,79,Zet,UMa,8891,A,13,23,55.5,N,54,55,31,2.27,0.02,0.03,  A1Vp,0.122,-0.02,0.047,-6
5055,79,Zet,UMa,8891,B,13,23,56.4,N,54,55,18,3.95,0.13,0.09,  A1m,0.119,-0.028,0.047,-9
5056,67,Alp,Vir,,,13,25,11.6,S,11,9,41,0.98,-0.23,-0.93,  B1III-IV+B2V,-0.041,-0.028,0.023,1
5057,,,,,,13,25,6.7,N,23,51,16,5.78,0.06,0.08,  A3IV,-0.013,-0.009,,-3
5058,,,,,,13,26,7.8,S,39,45,19,5.09,1.2,1.02,  K0.5III,0.184,-0.052,0.012,67
5059,,,,,,13,26,11.4,S,1,11,33,5.97,0.19,0.13,  A7III,-0.111,0.004,,-20
5060,,,,,,13,26,56.1,S,41,29,53,5.69,1.47,,  K3III,-0.004,-0.019,,-24
5061,,,,,,13,27,6.3,S,49,8,38,6.31,,,  A0III-IV,-0.021,-0.006,,-18
5062,80,,UMa,,,13,25,13.5,N,54,59,17,4.01,0.16,0.08,  A5V,0.118,-0.016,0.045,-9
5063,,,,,,13,27,20.8,S,49,22,51,6.28,-0.12,-0.69,  B3IV,0.011,0.01,,-6
5064,68,,Vir,,,13,26,43.2,S,12,42,28,5.25,1.52,1.75,  M0III,-0.13,-0.02,,-29
5065,,,,,,13,27,14.7,S,40,9,47,6.4,0.98,,  G8/K0III,-0.007,-0.002,,14
5066,,,,,,13,28,46.4,S,69,37,41,6.2,0.02,-0.42,  Ap,-0.047,-0.045,,16
5067,,,,,,13,26,16.6,N,46,1,41,5.88,0.97,, gK0,0.024,-0.021,,4
5068,69,,Vir,,,13,27,27.2,S,15,58,25,4.76,1.09,1.06,  K0-III-IV,-0.119,0.024,0.059,-14
5069,,,,,,13,29,7.6,S,64,40,33,6.11,0.11,0.05,  Ap,-0.083,-0.005,,15
5070,,,,,,13,25,59.9,N,63,15,40,6.5,0.74,0.3,  G6V,-0.392,0.216,0.028,-31
5071,,,,,,13,29,25.2,S,51,9,55,5.06,0.07,0.07,  A1V,-0.002,-0.017,0.011,-2
5072,70,,Vir,,,13,28,25.8,N,13,46,44,4.98,0.71,0.26,  G4V,-0.236,-0.577,0.043,5
5073,,,,,,13,26,8.1,N,72,23,29,5.79,1.63,1.9,  M1IIIab,0.022,-0.009,,-48
5074,,,,,A,13,27,4.6,N,64,44,8,6.66,0.37,0,  F0,-0.068,0.028,,-13
5075,,,,,B,13,27,10.7,N,64,43,10,7.04,0.39,-0.01,  F0,-0.063,0.032,,-15
5076,,,,,,13,27,59.5,N,52,44,45,6.34,0.23,0.14,  F0,-0.114,-0.008,,-7
5077,,,,,,13,28,26.2,N,40,43,47,6.47,0.92,,  G8III,0.009,-0.056,,-58
5078,,,,,,13,29,14.9,S,1,21,52,6.43,1.11,1.11,  K0III,-0.043,-0.062,,39
5079,,,,,,13,28,11.7,N,50,35,14,6.8,,,  F1IV,-0.113,0.041,,-16
5080,,,,8920,,13,29,42.8,S,23,16,53,4.97,1.6,0.68,  M7IIIe,-0.056,0.016,,-10
5081,71,,Vir,,,13,29,13,N,10,49,6,5.65,1.05,,  K0III,-0.061,-0.035,,-1
