HR,Flam,Bayer,Con,Dbl,Cmp,RA,m,s,,Dec m,,s,Vmag,B_V,U-B,Spec. Type,pmRA,pmD,Parallax,RV
204,,,,,,0,46,15.1,N,55,18,19,6.52,,,  A2III,0.015,-0.012,,-8
205,,,,,,0,46,10.9,N,44,51,41,6.05,-0.07,-0.27,  B9.5IIIp,0.028,-0.009,,0
206,,,,636,,0,45,41.7,S,16,25,27,6.47,0.31,,  F1IVn,0.014,-0.005,,0
207,,,,,,0,46,42.4,N,59,34,28,6.39,1.09,0.77,  G0Ib,-0.008,-0.001,,-15
208,23,,Cas,,,0,47,46.1,N,74,50,51,5.41,-0.08,-0.39,  B8III,0.015,-0.009,,-3
209,,,,,,0,45,45.6,S,47,33,6,5.8,0.64,,  G1V,0.184,0.086,0.049,-11
210,,,,,,0,46,11.8,S,22,31,19,5.5,0.98,,  G3V,0.201,-0.006,0.021,-15
211,57,,Psc,,,0,46,33,N,15,28,32,5.38,1.65,1.76,  M4IIIa,-0.027,-0.044,0.015,-27
212,,,,,,0,48,9.1,N,72,40,30,5.87,1.01,0.82,  K0IV,0.13,0.024,,1
213,58,,Psc,,,0,47,1.5,N,11,58,26,5.5,0.97,,  G8II,0.058,-0.036,,-1
214,59,,Psc,,,0,47,13.6,N,19,34,44,6.13,0.27,0.18,  F0Vn,0.104,0.011,,0
215,34,Zet,And,,,0,47,20.3,N,24,16,2,4.06,1.12,0.9,  K1IIe,-0.1,-0.083,0.037,-24
216,60,,Psc,,,0,47,23.6,N,6,44,27,5.99,0.94,0.7,  G8III,0.014,-0.015,,14
217,61,,Psc,,,0,47,54.8,N,20,55,31,6.54,0.5,0.03,  F8V,0.157,0.006,0.022,1
218,,,,,,0,47,43.3,S,18,3,41,5.7,1.3,1.46,  K3III,0.043,0.031,,2
219,24,Eta,Cas,671,,0,49,6,N,57,48,57,3.44,0.57,0.01,  F9V+dM0,1.1,-0.529,0.176,9
220,,,,,,0,48,1.1,S,21,43,21,5.57,-0.06,-0.12,  B9V,0.028,-0.011,,21
221,62,,Psc,,,0,48,17.4,N,7,18,0,5.93,1.1,1,  G8III,0.111,0.004,,0
222,,,,,,0,48,23,N,5,16,50,5.75,0.88,0.59,  K2V,0.758,-1.146,0.145,-13
223,25,Nu,Cas,,,0,48,50.1,N,50,58,6,4.89,-0.11,-0.42,  B9III,0.035,-0.006,,9
224,63,Del,Psc,,,0,48,41,N,7,35,6,4.43,1.5,1.86,  K4IIIb,0.085,-0.052,0.019,32
225,64,,Psc,,,0,48,58.7,N,16,56,26,5.07,0.51,0,  F8V,-0.003,-0.204,0.047,2
226,35,Nu,And,,,0,49,48.8,N,41,4,44,4.53,-0.15,-0.58,  B5V+F8V,0.023,-0.019,,-24
227,,,,680,,0,49,25.6,S,13,33,41,5.59,1.3,1.54,  K5III,0.105,-0.104,,4
228,,,,679,,0,49,13.9,S,24,8,11,5.9,0.95,0.72,  K2III,0.078,-0.051,,23
229,,,,,,0,48,56.7,S,46,41,52,6.27,0.9,,  G8III,-0.008,0.017,,12
230,65,,Psc,683,B,0,49,52.8,N,27,42,39,7,0.36,0.06,  F4III,0.084,-0.01,0.011,5
231,65,,Psc,683,A,0,49,53.2,N,27,42,37,7.1,,,  F5III,0.091,-0.009,0.011,7
232,,,,,,0,49,33.4,S,23,21,42,6.28,0.13,0.13,  A3V,-0.008,0,,12
233,,,,,,0,50,43.6,N,64,14,51,5.39,0.49,0.14,  G0III-IV+B9.5V,0.03,-0.012,,3
234,,,,,,0,50,18.3,N,45,0,8,6.15,0.01,-0.03,  A0pCr,0.065,0.006,,2
235,19,Phi2,Cet,,,0,50,7.6,S,10,38,40,5.19,0.5,-0.02,  F7IV-V,-0.226,-0.229,0.065,8
236,,Lam,Hyi,,,0,48,35.4,S,74,55,24,5.07,1.37,1.68,  K5III,0.13,-0.033,0.025,-9
237,,,,,,0,51,16.4,N,61,48,21,6.07,1.88,1.84,  K2Ib-II,-0.002,0.006,,-6
238,,,,,,0,50,57.4,N,51,30,29,6.39,0.28,0.12,  F2IV,0.135,-0.003,,2
239,,,,,,0,50,3.7,S,43,23,41,6.48,0.29,0.12,  A9-F0III,0.011,0.016,,15
240,,,,,,0,54,53.1,N,83,42,26,5.62,0.09,0.1,  A4V,0.062,-0.022,,12
241,,,,,,0,51,33.7,N,51,34,16,6.21,,,  B9.5V,-0.01,-0.019,,-14
242,,Rho,Phe,,,0,50,41.2,S,50,59,13,5.22,0.36,0.16,  F2III,0.067,0.039,0.005,22
